item_id,day_index,actual_sales,median_q50,conformal_lower_q10,conformal_upper_q90,recommended_order_qty,interval_width,relative_risk,risk_level,primary_risk_driver,recommended_actions,Demand Trend,Demand Volatility,Seasonality & Events,Data Reliability,Unmapped / Other,risk_driver_demand_volatility,risk_driver_seasonality_and_events,risk_driver_data_reliability
HOUSEHOLD_2_292_CA_4_validation,1894,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",79.86,14.47,2.29,0.08,3.3,85.9,13.61,0.49
FOODS_3_396_WI_1_validation,1901,0,0.07,0.0,1.07,1.0,1.07,15.283530924153693,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",79.96,12.96,2.22,0.11,4.75,84.73,14.52,0.75
FOODS_2_368_CA_4_validation,1897,0,0.0,0.0,2.55,2.0,2.55,254999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.97,7.11,1.84,0.08,11.99,78.65,20.41,0.94
FOODS_2_229_WI_1_validation,1887,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",80.05,14.33,2.17,0.08,3.37,86.4,13.11,0.5
HOBBIES_1_303_TX_1_validation,1893,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",80.58,14.62,1.94,0.09,2.77,87.81,11.68,0.52
FOODS_2_346_TX_3_validation,1889,0,3.5,0.99,6.82,6.0,5.83,1.66570952654421,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",77.43,8.76,5.49,0.1,8.21,61.02,38.26,0.72
HOUSEHOLD_2_415_TX_3_validation,1890,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.83,13.3,1.3,0.1,4.48,90.51,8.84,0.65
FOODS_1_197_WI_2_validation,1908,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.7,14.57,2.02,0.11,3.59,87.23,12.12,0.66
HOBBIES_1_238_WI_1_validation,1903,1,0.0,0.0,1.25,1.0,1.25,124999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.69,12.62,2.64,0.1,5.95,82.16,17.16,0.68
HOUSEHOLD_1_314_WI_1_validation,1909,0,0.0,0.0,0.9,1.0,0.9,90000.0,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.12,14.52,1.97,0.11,4.28,87.46,11.88,0.66
FOODS_3_418_CA_3_validation,1905,5,2.9,0.1,5.84,6.0,5.74,1.9793035196430357,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",70.68,9.14,8.32,0.2,11.66,51.76,47.12,1.11
HOBBIES_2_100_TX_2_validation,1890,0,0.0,0.0,1.87,2.0,1.87,187000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.44,13.2,1.23,0.09,7.04,90.9,8.47,0.63
FOODS_3_070_WI_2_validation,1903,65,16.92,2.13,42.51,37.0,40.379999999999995,2.386523412220205,LOW,Data Reliability,"['Routine data quality monitoring', 'Validate recent pricing updates', 'No further action required']",89.14,1.1,2.49,3.97,3.29,14.59,32.91,52.5
HOBBIES_1_150_WI_2_validation,1898,0,0.01,0.0,1.36,2.0,1.36,135.86413586413587,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",74.53,12.77,3.41,0.1,9.19,78.45,20.95,0.6
HOUSEHOLD_1_153_CA_2_validation,1903,0,0.9,0.0,2.62,3.0,2.62,2.9110787657914914,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",76.46,4.35,6.74,0.21,12.23,38.51,59.65,1.84
HOUSEHOLD_2_199_TX_1_validation,1886,0,1.0,0.0,2.78,3.0,2.78,2.7799722002779967,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",80.45,9.1,5.29,0.19,4.97,62.47,36.26,1.27
FOODS_2_358_CA_1_validation,1893,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",81.67,14.5,2.01,0.09,1.73,87.35,12.13,0.52
